state,district,block,village,lgd_code
Madhya Pradesh,Barwani,Anjad,Bilwadeb,478290
Madhya Pradesh,Barwani,Rajpur,Bilwani,478308
Madhya Pradesh,Barwani,Anjad,Bilwa Road,478258
Madhya Pradesh,Barwani,Rajpur,Bobalwadi,478374
Madhya Pradesh,Barwani,Pati,Bokarata,478110
Madhya Pradesh,Barwani,Barwani,Bomya,478004
Madhya Pradesh,Barwani,Rajpur,Borali,478316
Madhya Pradesh,Barwani,Barwani,Borchapada,478071
Madhya Pradesh,Barwani,Barwani,Borelaya,478024
Madhya Pradesh,Barwani,Barwani,Bori,478041
Madhya Pradesh,Barwani,Pati,Borkhedi,478082
Madhya Pradesh,Barwani,Pati,Borkund,478163
Madhya Pradesh,Barwani,Sendhwa,Borli,478600
Madhya Pradesh,Barwani,Niwali,Borli,478537
Madhya Pradesh,Barwani,Thikri,Brahamangaon,478209
Madhya Pradesh,Barwani,Niwali,Budhgaon,478527
Madhya Pradesh,Barwani,Pati,Budi,478097
Madhya Pradesh,Barwani,Rajpur,Budra,478302
Madhya Pradesh,Barwani,Thikri,Bunderkachh,478193
Madhya Pradesh,Barwani,Sendhwa,Chachariya Pati,478638
Madhya Pradesh,Barwani,Thikri,Chainpura,478205
Madhya Pradesh,Barwani,Pati,Chakalya,478103
Madhya Pradesh,Barwani,Anjad,Chakeri,478266
Madhya Pradesh,Barwani,Pati,Chandan Devi,478095
Madhya Pradesh,Barwani,Barwani,Charankheda,478055
Madhya Pradesh,Barwani,Sendhwa,Chardad,930710
Madhya Pradesh,Barwani,Pansemal,Charli Pitha,478460
Madhya Pradesh,Barwani,Pati,Charpatiya,478116
Madhya Pradesh,Barwani,Niwali,Chatli,478539
Madhya Pradesh,Barwani,Rajpur,Chautariya,478310
Madhya Pradesh,Barwani,Barwani,Cheeklya Malan,478052
Madhya Pradesh,Barwani,Pati,Chervi,478151
Madhya Pradesh,Barwani,Anjad,Chhapri,478263
Madhya Pradesh,Barwani,Pati,Chhichwaniya,478175
Madhya Pradesh,Barwani,Anjad,Chhota Barda,478252
Madhya Pradesh,Barwani,Rajpur,Chhotikhargaon,478360
Madhya Pradesh,Barwani,Niwali,Chichaba,478547
Madhya Pradesh,Barwani,Thikri,Chichli,478201
Madhya Pradesh,Barwani,Pansemal,Chichlya,478455
Madhya Pradesh,Barwani,Pati,Chikalkuwa Badi,478121
Madhya Pradesh,Barwani,Varla,Chikhali,478672
Madhya Pradesh,Barwani,Sendhwa,Chikhali,478605
Madhya Pradesh,Barwani,Pansemal,Chikhlada,478442
Madhya Pradesh,Barwani,Barwani,Chiklya,478068
Madhya Pradesh,Barwani,Varla,Chilariya,478689
Madhya Pradesh,Barwani,Pati,Chipiya Khedi,478092
Madhya Pradesh,Barwani,Varla,Chirmiriya,478696
Madhya Pradesh,Barwani,Rajpur,Chitawal,478368
Madhya Pradesh,Barwani,Sendhwa,Chithari,478630
Madhya Pradesh,Barwani,Pansemal,Choonabhatti,478435
Madhya Pradesh,Barwani,Pati,Chouki,478108
Madhya Pradesh,Barwani,Pansemal,Choutiyapani,478492
Madhya Pradesh,Barwani,Pati,Dabari,478169
Madhya Pradesh,Barwani,Thikri,Dabhad,478212
Madhya Pradesh,Barwani,Rajpur,Damdami,478349
Madhya Pradesh,Barwani,Rajpur,Danodroud,478309
Madhya Pradesh,Barwani,Anjad,Datwada,478254
Madhya Pradesh,Barwani,Thikri,Dawana,478215
Madhya Pradesh,Barwani,Barwani,Dehdala,478015
Madhya Pradesh,Barwani,Pansemal,Deodhar,478432
Madhya Pradesh,Barwani,Rajpur,Deola,478329
Madhya Pradesh,Barwani,Thikri,Deola,478220
Madhya Pradesh,Barwani,Varla,Deoli,478675
Madhya Pradesh,Barwani,Rajpur,Deonali,478390
Madhya Pradesh,Barwani,Pati,Derwalya,478114
Madhya Pradesh,Barwani,Pati,Devgarh,478174
Madhya Pradesh,Barwani,Thikri,Dewada,478229
Madhya Pradesh,Barwani,Sendhwa,Dhaba,478619
Madhya Pradesh,Barwani,Barwani,Dhaba Bawardi,478037
Madhya Pradesh,Barwani,Varla,Dhamanya,478678
Madhya Pradesh,Barwani,Pati,Dhamariya,478132
Madhya Pradesh,Barwani,Barwani,Dhamnai,478035
Madhya Pradesh,Barwani,Barwani,Dhamodi,478062
Madhya Pradesh,Barwani,Niwali,Dhanbawardi,478562
Madhya Pradesh,Barwani,Pati,Dhanjara,478143
Madhya Pradesh,Barwani,Sendhwa,Dhanora,478627
Madhya Pradesh,Barwani,Barwani,Dhanora,478022
Madhya Pradesh,Barwani,Sendhwa,Dhanora Purana,952567
Madhya Pradesh,Barwani,Sendhwa,Dhanori,478623
Madhya Pradesh,Barwani,Pansemal,Dharadgaon,478424
Madhya Pradesh,Barwani,Sendhwa,Dhawada,478642
Madhya Pradesh,Barwani,Varla,Dhawada,478692
Madhya Pradesh,Barwani,Sendhwa,Dhawadi,478635
Madhya Pradesh,Barwani,Pansemal,Dhawadi,478394
Madhya Pradesh,Barwani,Varla,Dhawali,478683
Madhya Pradesh,Barwani,Pansemal,Diwadya,478431
Madhya Pradesh,Barwani,Niwali,Diwani,478526
Madhya Pradesh,Barwani,Niwali,Dogaliyapani,478566
Madhya Pradesh,Barwani,Pati,Dogargaon,478127
